Albacete;388270;Spain;Spain
Alicante/Alacant;1879888;Spain;Spain
Almería;727945;Spain;Spain
Araba/Álava;333940;Spain;Spain
Asturias;1018784;Spain;Spain
Ávila;157664;Spain;Spain
Badajoz;672137;Spain;Spain
Balears, Illes;1171543;Spain;Spain
Barcelona;5743402;Spain;Spain
Bizkaia;1159443;Spain;Spain
Burgos;357650;Spain;Spain
Cáceres;391850;Spain;Spain
Cádiz;1244049;Spain;Spain
Cantabria;582905;Spain;Spain
Castellón/Castelló;585590;Spain;Spain
Ciudad Real;495045;Spain;Spain
Córdoba;781451;Spain;Spain
Coruña, A;1121815;Spain;Spain
Cuenca;196139;Spain;Spain
Gipuzkoa;727121;Spain;Spain
Girona;781788;Spain;Spain
Granada;919168;Spain;Spain
Guadalajara;261995;Spain;Spain
Huelva;524278;Spain;Spain
Huesca;222687;Spain;Spain
Jaén;631381;Spain;Spain
León;456439;Spain;Spain
Lleida;438517;Spain;Spain
Lugo;327946;Spain;Spain
Madrid;6779888;Spain;Spain
Málaga;1685920;Spain;Spain
Murcia;1511251;Spain;Spain
Navarra;661197;Spain;Spain
Ourense;306650;Spain;Spain
Palencia;160321;Spain;Spain
Palmas, Las;1131065;Spain;Spain
Pontevedra;945408;Spain;Spain
Rioja, La;319914;Spain;Spain
Salamanca;329245;Spain;Spain
Santa Cruz de Tenerife;1044887;Spain;Spain
Segovia;153478;Spain;Spain
Sevilla;1950219;Spain;Spain
Soria;88884;Spain;Spain
Tarragona;816772;Spain;Spain
Teruel;134176;Spain;Spain
Toledo;703772;Spain;Spain
Valencia/Valéncia;2591875;Spain;Spain
Valladolid;520649;Spain;Spain
Zamora;170588;Spain;Spain
Zaragoza;972528;Spain;Spain
Ceuta;84202;Spain;Spain
Melilla;87076;Spain;Spain
